Method_FQDN;Declared_vars;NoDDe;DDe_vars;DDe_features;NoADe;ADe_vars;ADe_features;Has_dependencies
ptydata.fillPtyData;size, n, length, data, xw, value;0;;;0;;;0
screen.ScrnInsertChar;screen, last, row, col, j, ld, xw, n;0;;;0;;;0
menu.select_menu;GCC_UNUSED, num;0;;;0;;;0
menu.do_poponbell;screen, GCC_UNUSED;0;;;0;;;0
charproc.ToAlternate;screen, xw;3;screen;Mandatory<->OPT_SAVE_LINES, Mandatory<->OPT_SAVE_LINES, Mandatory<->OPT_SAVE_LINES;0;;;1
menu.set_tekhide_sensitivity;;0;;;0;;;0
fontutils.setFaceName;screen, n, xw, value;9;screen, n;Mandatory<->OPT_RENDERWIDE, Mandatory<->OPT_RENDERWIDE, Mandatory<->OPT_RENDERWIDE, Mandatory<->OPT_RENDERWIDE, Mandatory<->OPT_RENDERWIDE, Mandatory<->OPT_RENDERWIDE, Mandatory<->OPT_RENDERWIDE, Mandatory<->OPT_RENDERWIDE, Mandatory<->OPT_RENDERWIDE;0;;;1
os2main.set_owner;why, device, gid, uid, mode;0;;;0;;;0
button.rowOnCurrentLine;result, l1, l2, ld, deltap, screen, line;0;;;0;;;0
util.set_background;screen, c, GCC_UNUSED, xw;0;;;0;;;0
menu.update_tekshow;;0;;;0;;;0
charproc.dotext;screen, chars_chomped, next_col, next_col, last_col, this_col, offset, width_available, width_here, need_wrap, last_chomp, ld, charset, buf, xw, len;54;screen, offset, len, xw, charset, buf, ld;Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_DEC_CHRSET, Mandatory<->OPT_DEC_CHRSET, Mandatory<->OPT_DEC_CHRSET, Mandatory<->OPT_DEC_CHRSET, Mandatory<->OPT_WIDE_CHARS, OPT_DEC_CHRSET<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS;12;len, xw, charset, screen;Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, OPT_WIDE_CHARS<->OPT_DEC_CHRSET, OPT_WIDE_CHARS<->OPT_DEC_CHRSET, OPT_WIDE_CHARS<->OPT_DEC_CHRSET, OPT_WIDE_CHARS<->OPT_DEC_CHRSET, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS;1
charproc.ansi_modes;i, xw, func;0;;;0;;;0
os2main.killit;sig;0;;;0;;;0
charproc.fill_Tres;name, temp, source, target, offset;0;;;0;;;0
menu.do_allowWindowOps;xw, GCC_UNUSED, w;0;;;0;;;0
cachedGCs.noleaks_cachedCgs;xw;1;xw;Mandatory<->NO_ACTIVE_ICON;0;;;1
button.indexToCol;col, indexed, off, len;0;;;0;;;0
misc.set_vt_visibility;screen, on;2;screen;Mandatory<->OPT_TEK4014, Mandatory<->OPT_TEK4014;3;screen, Vshow, term;Mandatory<->OPT_TEK4014, Mandatory<->OPT_TEK4014, Mandatory<->OPT_TEK4014;1
misc.xtermCopyEnv;size, newenv, oldenv;0;;;0;;;0
menu.do_8bit_control;GCC_UNUSED;0;;;0;;;0
menu.HandleReverseVideo;GCC_UNUSED, param_count, params, w;0;;;0;;;0
charproc.VTparse;screen, xw;0;;;0;;;0
scrollbar.CreateScrollBar;result, args, y, x, xw, height;0;;;0;;;0
cachedGCs.myCache;result, cgsId, xw, cgsWin;6;xw, cgsWin, result;Mandatory<->NO_ACTIVE_ICON, Mandatory<->NO_ACTIVE_ICON, Mandatory<->NO_ACTIVE_ICON, Mandatory<->NO_ACTIVE_ICON, Mandatory<->NO_ACTIVE_ICON, Mandatory<->NO_ACTIVE_ICON;0;;;1
misc.HandleRestoreSize;xw, GCC_UNUSED, w;0;;;0;;;0
menu.do_font_utf8_title;screen, GCC_UNUSED;0;;;0;;;0
trace.visibleSelectionTarget;result, a, d;0;;;0;;;0
input.skipName;s;0;;;0;;;0
charclass.init_classtab;size;0;;;0;;;0
ptydata.switchPtyData;screen, flag;0;;;0;;;0
screen.limitedParseRow;min_row, max_row, screen, xw, row;0;;;0;;;0
vms.spawn;status, delta, screen, iosb, flags, uic, imagename, privs, type, class, devdepend, mem_size, i;0;;;0;;;0
cursor.CursorRestore;screen, sc, xw;8;xw, sc;Mandatory<->OPT_ISO_COLORS, Mandatory<->OPT_ISO_COLORS, Mandatory<->OPT_ISO_COLORS, Mandatory<->OPT_ISO_COLORS, Mandatory<->OPT_ISO_COLORS, Mandatory<->OPT_ISO_COLORS, Mandatory<->OPT_ISO_COLORS, Mandatory<->OPT_ISO_COLORS;0;;;1
charproc.VTReset;empty, screen, reqWidth, reqHeight, replyWidth, replyHeight, full, saved, xw;5;xw;Mandatory<->OPT_MOD_FKEYS, Mandatory<->OPT_MOD_FKEYS, Mandatory<->OPT_INITIAL_ERASE, Mandatory<->OPT_INITIAL_ERASE, Mandatory<->OPT_INITIAL_ERASE;2;xw;Mandatory<->OPT_INITIAL_ERASE, Mandatory<->OPT_INITIAL_ERASE;1
button.SetCharacterClassRange;high, low, value;0;;;0;;;0
main.die_callback;GCC_UNUSED;0;;;0;;;0
xtermcap.loadTermcapStrings;name, want, have, fkey, area, screen;5;screen, fkey, have;Mandatory<->USE_TERMCAP, Mandatory<->USE_TERMCAP, Mandatory<->USE_TERMCAP, Mandatory<->USE_TERMCAP, Mandatory<->USE_TERMCAP;1;screen;Mandatory<->USE_TERMCAP;1
cachedGCs.setCgsFore;me, cgsId, xw, fg, cgsWin;0;;;0;;;0
print.setPrinterControlMode;screen, xw, mode;0;;;0;;;0
resize.resize_timeout;sig;0;;;0;;;0
scrollbar.ShowScrollLock;screen, enable;0;;;0;;;0
menu.HandleBackarrow;GCC_UNUSED, param_count, params, w;0;;;0;;;0
misc.hide_tek_window;;0;;;0;;;0
menu.do_vtonoff;gw, GCC_UNUSED;0;;;0;;;0
xutf8.l1utf8copy;l, s, d, len;0;;;0;;;0
util.makeColorPair;my_bg, my_fg, bg, fg;0;;;0;;;0
button.DisownSelection;screen, atoms, count, i, cutbuffer, first, last, xw;0;;;0;;;0
scrollbar.ResizeScrollBar;screen, height, width, ypos, xpos, xpos, xw;11;xw, screen, xpos;Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT, SCROLLBAR_RIGHT<->Mandatory, SCROLLBAR_RIGHT<->Mandatory;15;xw, screen, fullVwin, scrollWidget, core, core.width;Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT, Mandatory<->SCROLLBAR_RIGHT;1
cursor.CarriageReturn;screen;0;;;0;;;0
menu.do_sun_fkeys;GCC_UNUSED;0;;;0;;;0
Tekproc.Tinput;xw, tekscr, screen, tek, update, crocktimeout, tw;5;update, tw;Mandatory<->VMS, Mandatory<->VMS, Mandatory<->VMS, Mandatory<->VMS, Mandatory<->VMS;10;Tselect_mask, VTbuffer, update, tw;Mandatory<->VMS, Mandatory<->VMS, Mandatory<->VMS, Mandatory<->VMS, Mandatory<->VMS, Mandatory<->VMS, Mandatory<->VMS, Mandatory<->VMS, Mandatory<->VMS, Mandatory<->VMS;1
trace.TraceResizeRequest;rc, gotwide, ln, reqhigh, gothigh, w, reqwide, fn;0;;;0;;;0
misc.HandleInterpret;value, need, used, have, GCC_UNUSED, param_count, params;0;;;0;;;0
menu.do_altscreen;GCC_UNUSED;0;;;0;;;0
scrollback.deleteScrollback;which, where, prior, screen, row;0;;;0;;;0
print.charToPrinter;screen, input, my_pipe, c, temp, chr, xw;5;screen, chr;Mandatory<->defined(VMS), Mandatory<->defined(VMS), Mandatory<->defined(VMS), Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS;1;chr;OPT_WIDE_CHARS<->Mandatory;1
menu.do_old_fkeys;GCC_UNUSED;0;;;0;;;0
misc.ManipulateSelectionData;given, result, given, result, base, used, j, n, select_args, screen, buf, xw, final;0;;;0;;;0
misc.xtermShowPointer;tried, screen, enable, xw;2;xw, enable;Mandatory<->OPT_TEK4014, Mandatory<->OPT_TEK4014;1;xw;Mandatory<->OPT_TEK4014;1
util.extract_bg;bg, color, flags, xw;0;;;0;;;0
ptydata.skipPtyData;result, data;0;;;0;;;0
charproc.set_character_class;i, len, acc, low, high, base, numbers, digits, errfmt, c, s;0;;;0;;;0
screen.ScrnFillRectangle;screen, ld, left, size, attrs, row, col, temp, keepColors, flags, xw, value, target;1;attrs;Mandatory<->OPT_ISO_COLORS;0;;;1
misc.HandleKeyPressed;GCC_UNUSED, event;0;;;0;;;0
xstrings.x_skip_nonblanks;s;0;;;0;;;0
charproc.RequestResize;screen, value, replyWidth, replyHeight, askedWidth, askedHeight, status, attrs, high, wide, text, rows, xw, cols;12;xw, replyHeight, replyWidth, screen;Mandatory<->nothack, Mandatory<->nothack, Mandatory<->nothack, Mandatory<->nothack, Mandatory<->nothack, Mandatory<->nothack, Mandatory<->nothack, Mandatory<->nothack, Mandatory<->nothack, Mandatory<->nothack, Mandatory<->nothack, Mandatory<->nothack;1;xw;Mandatory<->nothack;1
menu.update_scrollbar;;0;;;0;;;0
misc.HandleDeIconify;xw, screen, GCC_UNUSED, w;0;;;0;;;0
screen.ScrnRefresh;screen, ld, y, row, maxrow, scrollamt, gc_changes, first_time, recurse, fb, wideness, chars, attrs, col, maxcol, hi_col, lastind, flags, test, fg_bg, fg, x, gc, hilite, ts, leftcol, force, ncols, toprow, nrows, xw;15;fg_bg, ld, col, maxcol, wideness, first_time, nrows, ncols, xw, screen;Mandatory<->!OPT_ISO_COLORS, Mandatory<->OPT_DEC_CHRSET, Mandatory<->OPT_DEC_CHRSET, Mandatory<->OPT_DEC_CHRSET, Mandatory<->OPT_DEC_CHRSET, Mandatory<->OPT_DEC_CHRSET, Mandatory<->OPT_DEC_CHRSET, OPT_WIDE_CHARS<->Mandatory, __CYGWIN__<->defined(__CYGWIN__) && defined(TIOCSWINSZ), __CYGWIN__<->defined(__CYGWIN__) && defined(TIOCSWINSZ), Mandatory<->defined(__CYGWIN__) && defined(TIOCSWINSZ), Mandatory<->defined(__CYGWIN__) && defined(TIOCSWINSZ), Mandatory<->defined(__CYGWIN__) && defined(TIOCSWINSZ), Mandatory<->defined(__CYGWIN__) && defined(TIOCSWINSZ), Mandatory<->defined(__CYGWIN__) && defined(TIOCSWINSZ);2;ld;Mandatory<->OPT_DEC_CHRSET, Mandatory<->OPT_DEC_CHRSET;1
button.ClearSelectionBuffer;screen;0;;;0;;;0
menu.set_tekfont_menu_item;val, n;0;;;0;;;0
misc.ResetColorsRequest;result, thisName, newColors, ndx, code, xw;26;xw, ndx, code, thisName, newColors, result;Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES, Mandatory<->OPT_COLOR_RES;0;;;1
misc.xtermDisplayCursor;screen, xw;0;;;0;;;0
menu.do_bellIsUrgent;screen, GCC_UNUSED;0;;;0;;;0
fontutils.dec2ucs;result, ch;0;;;0;;;0
menu.HandleScrollbar;xw, GCC_UNUSED, param_count, params, w;0;;;0;;;0
os2main.opencons;;0;;;0;;;0
menu.do_tektextlarge;gw, GCC_UNUSED;0;;;0;;;0
xstrings.x_nonempty;s;0;;;0;;;0
charproc.PreeditPosition;ld, spot, list, screen;0;;;0;;;0
fontutils.checkXft;c, width, extents, data, xw, xft;0;;;0;;;0
util.ucs_workaround;screen, fixed, eqv, width, ch, chrset, on_wide, gc, x, y, flags, xw;0;;;0;;;0
charproc.one_if_default;result, which;0;;;0;;;0
xtermcap.xtermcapString;result, param, which, screen, fkey, mask, xw, keycode;0;;;0;;;0
menu.Handle8BitControl;GCC_UNUSED, param_count, params, w;0;;;0;;;0
charproc.xim_destroy_cb;GCC_UNUSED;0;;;0;;;0
misc.QueryMaximize;screen, hints, supp, root_win, root_x, root_y, root_border, root_depth, termw, width, height;0;;;0;;;0
fontutils.xtermLoadWideFonts;screen, result, nullOk, xw;0;;;0;;;0
menu.update_meta_esc;;0;;;0;;;0
misc.timestamp_filename;tstamp, tstruct, src, dst;0;;;0;;;0
linedata.newCellData;result, screen, count, xw;0;;;0;;;0
main.E2A;c, x;0;;;0;;;0
button.ResizeSelection;GCC_UNUSED, rows, cols;0;;;0;;;0
charproc.set_max_col;screen, cols;0;;;0;;;0
menu.do_tekshow;gw, GCC_UNUSED;0;;;0;;;0
button.CutBuffer;cutbuffer, code;0;;;0;;;0
button.TrackMouse;screen, first, start, firstrow, lastrow, xw, func;0;;;0;;;0
Tekproc.TekRefresh;xw, screen, tekscr, wait_cursor, tw;0;;;0;;;0
button.HandleSelectStart;xw, screen, cell, GCC_UNUSED, event, w;0;;;0;;;0
screen.ScrnDeleteLine;screen, size, from, sb, where, last, xw, n;40;screen, sb, where, n, last, xw, size, from;Mandatory<->OPT_SAVE_LINES, Mandatory<->OPT_SAVE_LINES, Mandatory<->OPT_SAVE_LINES, Mandatory<->!OPT_FIFO_LINES, Mandatory<->!OPT_FIFO_LINES, Mandatory<->OPT_SAVE_LINES, Mandatory<->OPT_SAVE_LINES, Mandatory<->OPT_SAVE_LINES, Mandatory<->OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES, !OPT_FIFO_LINES<->OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES, !OPT_FIFO_LINES<->OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES, !OPT_FIFO_LINES<->OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES, !OPT_FIFO_LINES<->OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES, !OPT_FIFO_LINES<->OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES, Mandatory<->OPT_SAVE_LINES, Mandatory<->OPT_SAVE_LINES, Mandatory<->OPT_SAVE_LINES, Mandatory<->OPT_SAVE_LINES, Mandatory<->OPT_SAVE_LINES;3;screen, where;Mandatory<->OPT_SAVE_LINES, OPT_SAVE_LINES<->!OPT_FIFO_LINES, Mandatory<->OPT_FIFO_LINES;1
cursor.CursorUp;min, next, screen, n;0;;;0;;;0
menu.HandleCursorBlink;GCC_UNUSED, param_count, params, w;0;;;0;;;0
main.ConvertConsoleSelection;GCC_UNUSED;0;;;0;;;0
screen.traceScrnBuf;j, src, sb, screen, tag, len;0;;;0;;;0
misc.xtermIsPrintable;screen, result, cp, next, data, bufp, last, xw;11;xw, cp, last, next, result, screen;Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_C1_PRINT, Mandatory<->OPT_C1_PRINT, Mandatory<->OPT_C1_PRINT, Mandatory<->OPT_C1_PRINT;6;xw, cp, ansi_table, CASE_PRINT;Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_C1_PRINT, Mandatory<->OPT_C1_PRINT, OPT_WIDE_CHARS<->Mandatory, OPT_WIDE_CHARS<->Mandatory;1
charproc.zero_if_default;result, which;0;;;0;;;0
cachedGCs.newCache;xgcv, mask, me, cgsId, xw, cgsWin;12;mask, xgcv, xw;Mandatory<->OPT_BOX_CHARS, Mandatory<->OPT_BOX_CHARS, Mandatory<->OPT_BOX_CHARS, Mandatory<->OPT_BOX_CHARS, Mandatory<->OPT_BOX_CHARS, Mandatory<->OPT_BOX_CHARS, Mandatory<->OPT_BOX_CHARS, Mandatory<->OPT_BOX_CHARS, Mandatory<->OPT_BOX_CHARS, Mandatory<->OPT_BOX_CHARS, Mandatory<->OPT_BOX_CHARS, Mandatory<->OPT_BOX_CHARS;0;;;1
vms.CloseDown;status, exit_status;0;;;0;;;0
os2main.DeleteWindow;GCC_UNUSED, w;2;w;Mandatory<->OPT_TEK4014, Mandatory<->OPT_TEK4014;0;;;1
misc.parse_decdld;DscsName, len, Pfn, Pcn, Pe, Pcmw, Pw, Pt, Pcmh, Pcss, start_char, char_wide, char_high, ch, bits, first, prior, row, n, params, string;0;;;0;;;0
input.VTInitModifiers;dpy, keymap, i, j, k, l, keysym, mask, min_keycode, max_keycode, keysyms_per_keycode, theMap, keycode_count, limit, code, xw;10;max_keycode, min_keycode, keysyms_per_keycode, i, theMap, xw;Mandatory<->OPT_EXTRA_PASTE, Mandatory<->OPT_EXTRA_PASTE, Mandatory<->OPT_EXTRA_PASTE, Mandatory<->OPT_EXTRA_PASTE, Mandatory<->XF86XK_Paste, Mandatory<->XF86XK_Paste, Mandatory<->XF86XK_Paste, Mandatory<->SunXK_Paste, Mandatory<->SunXK_Paste, Mandatory<->SunXK_Paste;6;theMap, i, keysyms_per_keycode;Mandatory<->XF86XK_Paste, OPT_EXTRA_PASTE<->XF86XK_Paste, Mandatory<->SunXK_Paste, OPT_EXTRA_PASTE<->SunXK_Paste, OPT_EXTRA_PASTE<->Mandatory, OPT_EXTRA_PASTE<->Mandatory;1
misc.FlushLog;screen, cp, i, xw;0;;;0;;;0
cursor.CursorPrevLine;count, screen;0;;;0;;;0
misc.dabbrev_prev_word;ab, abword, c, ab_end, result, cell, screen, ld;0;;;0;;;0
Tekproc.TekPage;tekscr, tek, tek2, tw;0;;;0;;;0
button.do_start_extend;screen, coord, cell, GCC_UNUSED, use_cursor_loc, xw, event;6;event, screen;Mandatory<->OPT_READLINE, Mandatory<->OPT_READLINE, Mandatory<->OPT_READLINE, Mandatory<->OPT_READLINE, Mandatory<->OPT_READLINE, Mandatory<->OPT_READLINE;14;event, screen, dclick3_deletes, KeyModifiers, ShiftMask, startSel, endSel;Mandatory<->OPT_READLINE, OPT_READLINE<->Mandatory, OPT_READLINE<->Mandatory, OPT_READLINE<->Mandatory, OPT_READLINE<->Mandatory, OPT_READLINE<->Mandatory, OPT_READLINE<->Mandatory, OPT_READLINE<->Mandatory, OPT_READLINE<->Mandatory, OPT_READLINE<->Mandatory, OPT_READLINE<->Mandatory, OPT_READLINE<->Mandatory, Mandatory<->OPT_READLINE, Mandatory<->OPT_READLINE;1
input.stripAction;base, last;0;;;0;;;0
input.xtermHasTranslation;onlyInsert, xw, keyword;0;;;0;;;0
util.getXftColor;color, use, color, use, use, i, oldest, oldestuse, color, xw, pixel;0;;;0;;;0
main.disableSetUid;;0;;;0;;;0
charproc.ParseList;base, next, size, value, result, source;0;;;0;;;0
button.InitLocatorFilter;reply, screen, root, child, rx, ry, x, y, mask, row, oor, ret, state, xw;0;;;0;;;0
menu.update_vttekmode;;0;;;0;;;0
charproc.select_charset;sp, type, size;0;;;0;;;0
os2main.get_pty;pty;0;;;0;;;0
charproc.set_cursor_gcs;screen, win, cc, fg, bg, changed, xw;0;;;0;;;0
screen.extractScrnData;j, dst, src, nrows, screen, dstPtrs, srcPtrs, move_down;0;;;0;;;0
misc.xtermFindShell;s, d, tmp, result, found, skip, warning, leaf;0;;;0;;;0
print.closePrinter;screen, pcommand, GCC_UNUSED;0;;;2;xw;Mandatory<->VMS, Mandatory<->VMS;1
charproc.savemodes;screen, i, xw;10;screen;Mandatory<->OPT_BLINK_CURS, Mandatory<->OPT_BLINK_CURS, Mandatory<->ALLOWLOGGING, Mandatory<->OPT_FOCUS_EVENT, Mandatory<->OPT_READLINE, Mandatory<->OPT_READLINE, Mandatory<->OPT_READLINE, Mandatory<->OPT_READLINE, Mandatory<->OPT_READLINE, Mandatory<->OPT_READLINE;1;screen;Mandatory<->OPT_BLINK_CURS;1
misc.SysError;oerrno, code;0;;;0;;;0
main.first_map_occurred;handshake, screen;0;;;0;;;0
input.scofuncvalue;result, reply, kd;7;kd, reply;Mandatory<->OPT_SCO_FUNC_KEYS, Mandatory<->OPT_SCO_FUNC_KEYS, Mandatory<->OPT_SCO_FUNC_KEYS, Mandatory<->OPT_SCO_FUNC_KEYS, Mandatory<->OPT_SCO_FUNC_KEYS, Mandatory<->OPT_SCO_FUNC_KEYS, Mandatory<->OPT_SCO_FUNC_KEYS;0;;;1
.SetCharacterClassRange;high, low, value;0;;;0;;;0
main.pty_search;devindex, pgrp_rtn, pty;12;devindex, pty;|Mandatory<->defined(CRAY) |||| defined(__MVS__), Mandatory<->defined(CRAY) |||| defined(__MVS__), Mandatory<->defined(CRAY) |||| defined(__MVS__), Mandatory<->defined(CRAY) |||| defined(__MVS__), Mandatory<->defined(CRAY) |||| defined(__MVS__), Mandatory<->defined(CRAY) |||| defined(__MVS__), Mandatory<->defined(CRAY) |||| defined(__MVS__), Mandatory<->defined(CRAY) |||| defined(__MVS__), Mandatory<->defined(CRAY) |||| defined(__MVS__), Mandatory<->sun, Mandatory<->sun, Mandatory<->defined(CRAY) |||| defined(__MVS__)|;2;letter, pty;|Mandatory<->defined(CRAY) |||| defined(__MVS__), defined(CRAY) |||| defined(__MVS__)<->sun|;1
menu.do_clearsavedlines;GCC_UNUSED;0;;;0;;;0
input.IsControlOutput;kd;0;;;0;;;0
menu.do_delete_del;GCC_UNUSED;0;;;0;;;0
cachedGCs.getCgsFont;n, result, me, gc, xw, cgsWin;0;;;0;;;0
fontutils.xtermDrawBoxChar;screen, glyph_ht, lines, gc2, cgsId, cgsWin, p, font_width, font_height, n, points, npoints, width, x_coord, y_coord, width, x_coord, y_coord, coord, n, ch, cells, gc, x, y, flags, xw;17;screen, xw, ch, flags, n;Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, OPT_WIDE_CHARS<->Mandatory, OPT_WIDE_CHARS<->Mandatory, OPT_WIDE_CHARS<->Mandatory, OPT_WIDE_CHARS<->Mandatory, OPT_WIDE_CHARS<->Mandatory, OPT_WIDE_CHARS<->Mandatory;13;screen, xw, ch, flags, n;Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, Mandatory<->OPT_WIDE_CHARS, OPT_WIDE_CHARS<->Mandatory, OPT_WIDE_CHARS<->Mandatory, OPT_WIDE_CHARS<->Mandatory;1
menu.do_allowTcapOps;xw, GCC_UNUSED, w;0;;;0;;;0
