Method_FQDN;#debug;#elif;#elifdef;#elifndef;#else;#if;#ifdef;#ifndef;#mdebug;NoDi;NoFE
charproc.ShowCursor;0;0;0;0;1;7;1;1;0;10;2
Tekproc.TekDraw;0;0;0;0;0;0;0;0;0;0;0
charproc.cleanupInputMethod;0;0;0;0;0;0;0;0;0;0;0
menu.HandleBellIsUrgent;0;0;0;0;0;0;0;0;0;0;0
util.putXtermCell;0;0;0;0;0;0;0;0;0;0;0
button.SelectSet;0;0;0;0;0;0;0;0;0;0;0
button.SendFocusButton;0;0;0;0;0;1;0;0;0;1;1
fontutils.xtermFontName;0;0;0;0;0;0;0;0;0;0;0
misc.unselectwindow;0;0;0;0;0;1;0;0;0;1;1
scrollbar.HandleScrollForward;0;0;0;0;0;0;0;0;0;0;0
fontutils.xtermGetFont;0;0;0;0;0;0;0;0;0;0;0
misc.do_xevents;0;0;0;0;1;1;0;0;0;2;1
trace.TraceXtermResources;0;0;0;0;0;9;0;0;0;9;1
misc.find_closest_color;0;0;0;0;0;0;0;0;0;0;0
menu.HandlePopupMenu;0;0;0;0;0;1;0;0;0;1;1
misc.StartLog;0;0;0;0;3;1;3;0;0;7;2
doublechr.repaint_line;0;0;0;0;0;0;0;0;0;0;0
button._SelectionTargets;0;0;0;0;0;1;0;0;0;1;1
menu.do_softreset;0;0;0;0;0;0;0;0;0;0;0
menu.set_menu_font;0;0;0;0;0;0;0;0;0;0;0
misc.HandleEightBitKeyPressed;0;0;0;0;0;0;0;0;0;0;0
menu.HandleReverseWrap;0;0;0;0;0;0;0;0;0;0;0
charproc.set_ansi_conformance;0;0;0;0;0;0;0;0;0;0;0
print.xtermPrintScreen;0;0;0;0;0;0;0;0;0;0;0
Tekproc.TCursorUp;0;0;0;0;0;0;0;0;0;0;0
menu.do_num_lock;0;0;0;0;0;0;0;0;0;0;0
screen.ScreenResize;0;0;0;0;5;8;3;1;0;17;3
main.kill_process_group;0;0;0;0;1;1;0;0;0;2;1
cursor.CursorDown;0;0;0;0;0;0;0;0;0;0;0
button.SendMousePosition;0;0;0;0;0;1;0;0;0;1;1
xstrings.x_skip_blanks;0;0;0;0;0;0;0;0;0;0;0
fontutils.xtermCopyFontInfo;0;0;0;0;0;0;0;0;0;0;0
screen.non_blank_line;0;0;0;0;0;0;0;0;0;0;0
button.ReHiliteText;0;0;0;0;0;0;0;0;0;0;0
button.class_of;0;0;0;0;0;1;0;0;0;1;1
linedata.saveCellData;0;0;0;0;0;1;0;0;0;1;1
util.xtermXftDrawString;0;0;0;0;1;2;0;0;0;3;1
screen.ScrnMarkRectangle;0;0;0;0;0;2;0;0;0;2;1
ptydata.fillPtyData;0;0;0;0;0;0;0;0;0;0;0
screen.ScrnInsertChar;0;0;0;0;0;0;0;0;0;0;0
menu.select_menu;0;0;0;0;0;1;0;0;0;1;1
menu.do_poponbell;0;0;0;0;0;0;0;0;0;0;0
charproc.ToAlternate;0;0;0;0;0;1;0;0;0;1;1
menu.set_tekhide_sensitivity;0;0;0;0;0;0;0;0;0;0;0
fontutils.setFaceName;0;0;0;0;0;1;0;0;0;1;1
os2main.set_owner;0;0;0;0;0;0;0;0;0;0;0
button.rowOnCurrentLine;0;0;0;0;0;0;0;0;0;0;0
util.set_background;0;0;0;0;0;0;0;0;0;0;0
menu.update_tekshow;0;0;0;0;0;0;0;0;0;0;0
charproc.dotext;0;0;0;0;2;4;0;0;0;6;1
charproc.ansi_modes;0;0;0;0;0;0;0;0;0;0;0
os2main.killit;0;0;0;0;0;0;0;0;0;0;0
charproc.fill_Tres;0;0;0;0;0;0;0;0;0;0;0
menu.do_allowWindowOps;0;0;0;0;0;0;0;0;0;0;0
cachedGCs.noleaks_cachedCgs;0;0;0;0;0;0;0;1;0;1;1
button.indexToCol;0;0;0;0;0;0;0;0;0;0;0
misc.set_vt_visibility;0;0;0;0;0;2;0;0;0;2;1
misc.xtermCopyEnv;0;0;0;0;0;0;0;0;0;0;0
menu.do_8bit_control;0;0;0;0;0;0;0;0;0;0;0
menu.HandleReverseVideo;0;0;0;0;0;0;0;0;0;0;0
charproc.VTparse;0;0;0;0;0;0;0;0;0;0;0
scrollbar.CreateScrollBar;0;0;0;0;0;0;0;0;0;0;0
cachedGCs.myCache;0;0;0;0;1;0;1;0;0;2;1
misc.HandleRestoreSize;0;0;0;0;0;0;0;0;0;0;0
menu.do_font_utf8_title;0;0;0;0;0;0;0;0;0;0;0
trace.visibleSelectionTarget;0;0;0;0;0;0;0;0;0;0;0
input.skipName;0;0;0;0;0;0;0;0;0;0;0
charclass.init_classtab;0;0;0;0;0;0;0;0;0;0;0
ptydata.switchPtyData;0;0;0;0;0;0;0;0;0;0;0
screen.limitedParseRow;0;0;0;0;0;0;0;0;0;0;0
vms.spawn;0;0;0;0;0;0;0;0;0;0;0
cursor.CursorRestore;0;0;0;0;0;1;0;0;0;1;1
charproc.VTReset;0;0;0;0;0;2;0;0;0;2;1
button.SetCharacterClassRange;0;0;0;0;0;0;0;0;0;0;0
main.die_callback;0;0;0;0;0;0;0;0;0;0;0
